Environment,Required_Strength,Durability_Priority,Eco_Preference,Application_Area,Max_Lead_Time,Material_Name
Coastal,High,9,Yes,Bridge Support,30,Stainless Steel 316
Dry,Medium,6,Yes,Interior Wall Frame,10,Plywood
Humid,Low,5,Yes,Furniture,7,Teak Wood
Dry,High,8,No,Gear Components,20,Carbon Steel
Coastal,Medium,7,Yes,Window Frames,15,Aluminum 6061
Humid,Medium,7,No,Water Pipes,12,PVC
Dry,High,9,No,Automotive Parts,25,Carbon Fiber Composite
Coastal,High,10,Yes,Marine Equipment,35,Titanium Grade 5
Humid,Low,4,Yes,Ceiling Panels,10,Fiberglass
Dry,Medium,6,Yes,Roofing Sheets,15,Galvanized Steel
Humid,High,8,Yes,Chemical Storage Tanks,30,HDPE
Coastal,Medium,6,Yes,Railing Structures,20,Aluminum 6061
Dry,Low,3,Yes,Packaging,5,Medium Density Fiberboard
Humid,High,9,No,Pump Housings,18,Cast Iron
Dry,Medium,7,No,Electrical Enclosures,14,ABS Plastic
Coastal,High,9,Yes,Offshore Platforms,40,Stainless Steel 316
Humid,Low,4,Yes,Decorative Panels,10,Engineered Wood
Dry,High,10,No,Aerospace Frame,40,Aluminum 6061
Humid,Medium,5,Yes,Floor Tiles,12,Ceramic
Coastal,Medium,8,No,Condenser Coils,22,Copper
Dry,High,7,No,Hand Tools,20,Carbon Steel
Humid,Medium,6,Yes,Door Frames,14,Engineered Wood
Dry,Low,2,Yes,Temporary Shelters,5,Plywood
Coastal,Low,5,Yes,Window Screens,12,Fiberglass
Humid,High,10,No,Heavy Duty Shelving,30,Stainless Steel 304
Dry,Medium,6,Yes,Furniture,8,Medium Density Fiberboard
Coastal,Medium,7,Yes,Balcony Railings,15,Aluminum 6061
Humid,Low,3,Yes,Panel Boards,7,Medium Density Fiberboard
Dry,High,9,No,Engine Blocks,28,Cast Iron
Humid,Medium,6,Yes,Drainage Pipes,10,PVC
Dry,Low,4,Yes,Display Boards,6,Polycarbonate
Coastal,High,10,Yes,Oil Rig Structures,45,Stainless Steel 316
Humid,Medium,7,Yes,Greenhouses,10,Polycarbonate
Dry,High,9,Yes,Machine Parts,25,Carbon Steel
Coastal,Medium,6,Yes,Sign Boards,15,Aluminum 6061
Dry,Low,2,Yes,Event Staging,4,Plywood
Humid,High,9,No,Industrial Fans,30,Stainless Steel 304
Dry,Medium,5,Yes,Insulation Panels,7,Fiberglass
Coastal,High,10,Yes,Underwater Pipelines,40,Stainless Steel 316
Humid,Low,4,Yes,Interior Decor,6,Engineered Wood
Dry,High,8,Yes,Automotive Housings,22,Aluminum 6061
Coastal,Medium,7,No,Cable Trays,20,Galvanized Steel
Dry,Low,3,Yes,Festival Stalls,5,Plywood
Humid,Medium,6,Yes,Sanitary Fittings,14,Stainless Steel 304
Coastal,Low,5,Yes,Roof Gutters,12,Aluminum 6061
Dry,High,9,No,Precision Instruments,30,Brass
Humid,Medium,5,Yes,False Ceiling,8,Medium Density Fiberboard
Coastal,High,9,Yes,Ship Hulls,35,Stainless Steel 316
Dry,Medium,6,Yes,Storage Cabinets,12,Plywood
Humid,Low,4,Yes,Indoor Plants Holders,6,Ceramic
Coastal,Medium,8,Yes,Heat Exchangers,25,Copper
Dry,High,9,No,Defense Equipment,40,Titanium Grade 5
Humid,Low,2,No,Offshore Platforms,18,Fiberglass
Humid,Low,10,Yes,Underwater Pipelines,31,Teak Wood
Coastal,Low,5,Yes,Machine Parts,42,Plywood
Humid,Low,10,No,Electrical Enclosures,32,Fiberglass
Dry,Low,4,No,Door Frames,21,Galvanized Steel
Coastal,Medium,3,Yes,Heavy Duty Shelving,10,Plywood
Dry,High,6,Yes,Ship Hulls,33,Aluminum 6061
Coastal,Medium,3,No,Cable Trays,43,Fiberglass
Humid,Low,3,Yes,Sanitary Fittings,18,Ceramic
Dry,Low,5,Yes,Heavy Duty Shelving,21,PVC
Humid,Medium,4,No,Temporary Shelters,17,Plywood
Dry,High,3,Yes,Event Staging,19,HDPE
Dry,Medium,6,Yes,Roof Gutters,24,Ceramic
Coastal,Low,2,No,Balcony Railings,21,Aluminum 6061
Coastal,High,7,Yes,Festival Stalls,35,Medium Density Fiberboard
Humid,Medium,4,No,Ceiling Panels,19,Stainless Steel 316
Humid,High,6,No,Underwater Pipelines,29,Fiberglass
Coastal,Low,10,No,Water Pipes,7,Titanium Grade 5
Coastal,High,4,No,Interior Decor,8,Stainless Steel 304
Dry,High,9,No,Industrial Fans,4,Stainless Steel 304
Humid,Low,10,No,Heat Exchangers,45,Engineered Wood
Coastal,Medium,8,Yes,Display Boards,4,Medium Density Fiberboard
Humid,Medium,10,Yes,Machine Parts,10,Aluminum 6061
Dry,High,10,Yes,Roofing Sheets,27,Plywood
Coastal,High,10,Yes,Interior Decor,24,Stainless Steel 316
Coastal,Low,7,No,Offshore Platforms,7,Stainless Steel 316
Humid,Low,3,No,Window Frames,38,Ceramic
Coastal,Low,9,Yes,Decorative Panels,37,Stainless Steel 316
Dry,Low,10,Yes,False Ceiling,23,Medium Density Fiberboard
Humid,High,7,No,Sign Boards,32,Titanium Grade 5
Coastal,Low,3,No,Interior Wall Frame,41,Plywood
Coastal,High,5,Yes,Window Frames,44,Carbon Steel
Coastal,Low,2,No,Window Frames,36,Stainless Steel 316
Dry,High,9,Yes,Event Staging,12,Medium Density Fiberboard
Humid,High,9,Yes,Defense Equipment,34,Titanium Grade 5
Dry,Low,3,Yes,Sanitary Fittings,31,Plywood
Dry,Medium,9,Yes,Roof Gutters,45,Galvanized Steel
Coastal,Low,8,No,Automotive Parts,19,Medium Density Fiberboard
Coastal,High,9,Yes,Engine Blocks,15,Aluminum 6061
Dry,Low,3,No,Industrial Fans,10,Carbon Steel
Humid,High,2,Yes,Indoor Plants Holders,19,HDPE
Dry,Medium,9,Yes,Balcony Railings,7,HDPE
Dry,Low,8,No,Defense Equipment,33,Ceramic
Dry,High,10,No,Roofing Sheets,16,Ceramic
Coastal,Low,10,Yes,Storage Cabinets,24,Carbon Steel
Coastal,High,9,Yes,Gear Components,36,PVC
Coastal,Low,3,Yes,Balcony Railings,11,Stainless Steel 304
Coastal,High,2,Yes,Panel Boards,41,Stainless Steel 304
Humid,Medium,6,Yes,Sanitary Fittings,24,Stainless Steel 316
Dry,Medium,4,No,Display Boards,24,Plywood
Coastal,Low,9,Yes,Window Frames,38,Cast Iron
Humid,Medium,4,No,Window Frames,19,Fiberglass
Dry,Low,9,No,Automotive Housings,45,Carbon Steel
Coastal,High,10,No,Sanitary Fittings,10,Fiberglass
Dry,Low,3,Yes,Aerospace Frame,22,Stainless Steel 316
Coastal,High,7,Yes,Roof Gutters,44,Engineered Wood
Humid,Medium,6,Yes,Water Pipes,44,Medium Density Fiberboard
Dry,Low,2,No,Heat Exchangers,12,Aluminum 6061
Dry,Low,9,No,Industrial Fans,4,Titanium Grade 5
Coastal,High,4,Yes,Window Screens,41,Plywood
Coastal,Medium,4,Yes,Condenser Coils,27,Brass
Coastal,Medium,5,Yes,Sanitary Fittings,10,Plywood
Humid,Medium,4,Yes,Chemical Storage Tanks,15,Aluminum 6061
Coastal,Low,7,No,Sanitary Fittings,19,Aluminum 6061
Coastal,High,3,No,Furniture,34,ABS Plastic
Coastal,Medium,7,No,Defense Equipment,18,ABS Plastic
Coastal,High,5,No,Door Frames,21,Aluminum 6061
Dry,Medium,10,No,Roof Gutters,38,Engineered Wood
Coastal,Low,6,Yes,Underwater Pipelines,20,Teak Wood
Coastal,High,8,No,Ship Hulls,24,Medium Density Fiberboard
Humid,High,3,No,Insulation Panels,16,Engineered Wood
Coastal,High,8,Yes,Sign Boards,38,Stainless Steel 304
Humid,High,5,No,Engine Blocks,8,Plywood
Dry,High,7,Yes,Ship Hulls,23,Polycarbonate
Dry,High,8,No,Balcony Railings,22,Plywood
Coastal,Low,8,No,Roof Gutters,15,Engineered Wood
Humid,Medium,8,Yes,Condenser Coils,22,Cast Iron
Dry,High,7,No,Drainage Pipes,32,Stainless Steel 304
Coastal,High,9,Yes,Sanitary Fittings,9,Ceramic
